# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_TS_C.F90 (Apache-2.0).
z,n,ios,iop,iod,core_charge,eheat_kcal,u_ss,u_pp,u_dd,zeta_s,zeta_p,zeta_d,beta_s,beta_p,beta_d,g_ss,g_sp,g_pp,g_p2,h_sp,zsn,zpn,zdn,f0sd,g2sd,alpha,poc,polvol,g1_1,g1_2,g1_3,g1_4,g2_1,g2_2,g2_3,g2_4,g3_1,g3_2,g3_3,g3_4
23,4,2,0,3,5,122.9,-32.598954,-20.496422,-43.169867,6.051795,2.249871,1.087345,-4.628385,-3.039568,-3.704203,6.645015,5.436952,5.22581,4.580932,1.092636,1.2155,0.87726,1.512555,6.56073,1.196816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,1,0,5,6,95,-41.077064,-19.350873,-80.190851,2.838413,1.37956,1.188729,-13.781066,0.735757,-6.372908,11.887886,14.518298,28.418564,24.911643,1.187458,2.174521,4.770642,2.141579,7.511007,2.622589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,2,0,5,7,67.7,-42.374682,-18.304981,-54.430991,1.66644,2.078735,2.89707,-19.986721,-51.153604,-28.049908,7.105662,8.807648,24.180795,21.196825,0.221872,1.299761,4.059245,1.146085,4.78419,2.008311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,2,0,6,8,99.3,-74.715611,-56.758188,-90.918476,1.157576,2.737621,1.860792,-4.36543,-4.25608,-12.531631,12.153271,8.511068,7.829869,6.863644,1.267977,2.223065,1.314405,1.769722,9.314037,1.970401,0,0.993526,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,2,0,7,9,102.4,-37.720682,-0.23034,-85.1859,1.789441,1.531664,1.951497,-11.175136,-18.331339,-5.935777,9.352749,6.087093,5.528108,4.845926,0.763102,1.710796,0.928007,1.563753,3.0455,1.015102,0,1.433458,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,2,0,8,10,102.8,-55.50357,-30.601744,-68.610896,1.70834,2.000099,5.698724,-15.417178,-21.305796,-4.094535,6.435016,5.921995,6.035702,5.290881,1.379687,1.177087,1.013217,1.017987,5.49255,2.469437,0,2.2085,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,1,0,10,11,80.7,-55.174441,3.200458,-118.258961,1.735325,3.219976,6.013523,-11.801588,-37.165178,-14.652492,13.22591,2.055274,1.799749,1.577656,0.00042,2.419271,0.302125,1.678203,5.1609,2.792359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,2,0,0,2,31.17,-16.700035,-14.844247,0,1.56014,1.915631,0,-16.770975,2.907797,0,6.421475,10.243652,20.001326,16.126802,0.983644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,2,1,0,3,65.4,-30.81273,-22.498885,0,1.913326,1.811217,0,-15.08248,-0.938845,0,9.43645,9.189262,5.480436,6.991064,0.970992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,2,2,0,4,89.5,-35.69462,-29.273804,0,2.762845,1.531131,0,-18.07173,-1.563157,0,4.991616,9.108444,6.693916,5.91495,0.80176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,2,3,0,5,72.3,-41.523302,-36.959219,-35.859071,3.21385,1.628384,3.314358,-17.440295,-6.603566,-2.445554,8.08835,7.457692,8.918517,7.102449,0.96963,0.916221,1.115722,2.137809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,2,4,0,6,54.3,-47.218303,-35.588294,0,2.75113,1.901764,0,-9.614158,-6.121302,0,4.895424,6.792977,5.775063,5.57848,3.152775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,2,5,0,7,26.74,-49.141354,-48.274409,2.677328,3.72548,2.242318,1.591034,-32.458894,-10.270309,-19.977175,8.131665,4.285572,8.056519,7.520115,1.567275,10.522069,9.531017,5.776829,0,0,0,0,2.14242,0,0,0,0,0,0,0,0,0,0,0,0
36,5,0,6,0,6,0,8.535384,-80.484321,0,1.312248,4.491371,0,-2.727088,-16.142951,0,19.999857,1.175304,9.174784,14.926948,0.299867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,1,0,0,1,19.6,-4.120962,-0.6333,0,1.314831,6.015581,0,-8.442947,4.853952,0,11.892047,3.477383,6.000901,6.008182,0.998126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,2,0,0,2,39.1,-10.693066,-8.539218,0,2.092264,3.314082,0,-4.904378,8.809297,0,6.494973,4.045506,2.547611,4.121201,1.10279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,2,0,1,3,101.5,-17.035117,-16.168689,-16.354811,1.605083,2.131069,6.021645,-10.513848,-11.341408,-10.701025,5.318448,6.318665,11.005171,9.590777,0.637634,1.186263,2.244351,0.911477,6.855595,5.889822,0,2.019557,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,2,0,2,4,145.5,-18.679203,-0.049727,-23.299157,1.373517,1.141705,1.618769,1.688872,2.330045,-4.552268,4.852089,5.870299,14.606623,12.729368,0.151363,1.082243,2.978817,1.417227,4.737734,2.14162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,1,0,4,5,172.4,-33.49711,-34.762698,-44.819149,2.761686,5.999062,1.611677,-23.566737,-1.623945,-7.421668,6.40778,7.659444,14.277976,12.442959,0.61923,1.429235,2.911794,1.950434,6.393769,1.759636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,1,0,5,6,157.3,-51.662768,46.059429,-57.269405,1.595399,1.426575,1.787748,6.685073,5.485123,-13.14696,8.534266,7.704937,7.807325,6.803921,1.787407,1.903541,1.592195,1.889678,9.654475,2.314954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,2,0,5,7,162,-48.91674,-21.908166,-53.80759,2.104672,2.669984,3.030496,-17.096185,-17.740652,-7.241592,9.24058,4.795964,4.356876,3.796926,0.248174,2.061082,0.888524,1.575315,7.521148,3.106149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5,1,0,7,8,155.5,-41.151429,-42.965344,-45.714719,1.605646,4.58082,1.244578,-4.989393,-10.77869,1.216566,5.25695,5.63187,6.734273,5.868779,1.326657,1.172546,1.373361,1.018114,4.898881,2.648488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,1,0,8,9,133,-24.613157,6.621039,-81.764165,1.591465,4.546046,2.685918,-9.488908,-6.699556,-7.997845,9.325333,11.31844,47.274639,41.198863,0.017585,2.079986,9.641003,1.787794,2.230584,1.492841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5,0,0,10,10,90,-90.670356,45.018147,-94.618031,5.790768,2.169788,1.327661,-18.862423,-18.10701,-3.592862,8.902449,3.376439,3.04645,2.654918,0.043028,1.985663,0.621281,1.768258,9.251409,1.948722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,1,0,10,11,68.1,-92.280499,29.229985,-82.344865,1.793032,2.528721,3.524808,-9.850776,-29.894728,-63.636331,7.261991,2.391732,2.15621,1.879092,0.014435,1.619764,0.439729,1.210202,8.987758,4.716654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,2,0,0,2,26.72,-18.127987,-13.777839,0,3.670047,1.857036,0,-23.781665,-11.89206,0,8.904816,9.232666,11.103045,10.905897,0.981926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5,2,1,0,3,58,-26.891944,-28.519053,0,1.902085,1.940127,0,-0.447307,-4.269337,0,6.493621,12.576468,10.282533,10.903195,2.133796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5,2,2,0,4,72.2,-33.880164,-39.128186,0,1.959238,1.976146,0,0.443105,-8.486074,0,6.196917,10.595744,14.691065,13.501111,1.234523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5,2,3,0,5,63.2,-42.835901,-19.996258,-20.317174,1.9986,1.887062,1.475516,-13.037071,-6.16648,-9.740725,9.994149,1.434008,7.208157,6.21273,3.566032,2.179206,0.862318,4.147596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5,2,4,0,6,47,-97.416118,-50.000552,0,3.024819,2.598283,0,-70.028904,-11.183348,0,18.350494,11.255114,8.695261,7.622556,3.626912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,2,5,0,7,25.517,-63.618928,-45.760969,6.109119,3.316202,2.449124,1.716121,-37.373318,-10.174482,-11.807267,7.658717,8.237228,5.66703,5.661068,2.688576,4.000764,3.993847,3.946706,0,0,0,0,3.82316,0,0,0,0,0,0,0,0,0,0,0,0
54,6,0,6,0,6,0,-18.96433,-108.181436,0,3.208788,2.727979,0,-2.718707,-44.93637,0,17.906443,4.106228,1.716979,18.971469,4.990194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6,1,0,0,1,18.7,-3.996308,-2.569885,0,1.776064,6.02531,0,-11.16734,9.691485,0,18.164131,6.920824,16.792426,8.175881,4.590034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6,2,0,0,2,42.5,-11.571532,-9.917993,0,1.75049,1.968788,0,-10.914737,9.72792,0,7.843618,19.900648,20.004643,19.020523,0.979914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,6,2,0,1,3,103.011,-15.586927,58.477136,-19.818759,3.398968,1.811983,1.894574,-18.460416,-19.708547,0.849478,4.516349,5.344112,10.610725,9.202959,0.286106,1.187188,2.542482,2.306744,7.808849,5.958952,0,1.846287,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,2,0,1,3,101.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6,2,0,1,3,84.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,2,0,1,3,78.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
