# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_C.F90 (Apache-2.0).
z_hi,z_lo,alpb,xfac
81,8,3.327926,14.162059
81,9,3.188782,5.857103
81,13,1.458567,7.820754
81,16,2.64856,7.355971
81,17,3.12713,15.106797
81,35,2.596395,9.792163
81,37,1.512698,19.748653
81,53,2.616072,30.000873
81,81,2.597707,32.531404
82,1,2.827636,11.387111
82,3,0.94766,1.191773
82,5,1.718658,2.379671
82,6,2.608618,6.379969
82,7,1.830414,1.025862
82,8,2.980453,4.952015
82,9,3.676637,9.548494
82,14,1.284024,1.429987
82,15,1.955648,13.812691
82,16,2.362854,5.43609
82,17,1.499678,0.736101
82,20,1.691921,6.709141
82,23,1.501708,3.819119
82,24,1.305185,0.974428
82,30,1.434109,2.865002
82,33,1.792215,4.943875
82,34,2.893161,29.986812
82,35,2.364003,6.777519
82,41,1.5,1
82,42,1.759074,5.265939
82,52,3.242448,176.768383
82,53,2.17909,8.112077
82,74,1.517042,1.512242
82,82,2.529682,38.47904
83,1,1.727556,1.225129
83,3,1.221685,2.187383
83,6,1.970985,1.397988
83,7,1.976984,1.315182
83,8,2.337898,1.621567
83,9,2.02942,0.490733
83,11,1.5328,2.410886
83,16,1.866193,1.624988
83,17,1.405944,0.49644
83,19,1.41797,2.123183
83,34,1.609528,1.139985
83,35,1.750597,1.792203
83,37,1.528441,2.435372
83,53,1.592333,2.364966
83,55,1.56788,2.314878
83,83,1.75662,7.710187
87,7,2.21881,1.01263
87,9,2.21881,1.01263
87,17,1.57966,0.76156
87,87,1.57966,0.76156
