# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_C.F90 (Apache-2.0).
z_hi,z_lo,alpb,xfac
22,6,1.798067,0.562296
22,7,1.638936,0.543706
22,8,1.962314,0.872204
22,9,2.186657,0.836131
22,11,1.124786,1.987793
22,12,1.900606,6.889073
22,13,1.833384,8.952566
22,14,1.373954,0.561089
22,15,1.610003,3.07468
22,16,2.30945,1.781817
22,17,1.953656,0.831301
22,20,1.268314,0.513504
22,22,2.445684,29.795082
23,1,1.4549,0.350807
23,6,1.904429,0.489034
23,7,2.139547,0.964593
23,8,2.076717,0.789091
23,9,2.483525,1.056377
23,11,2.548904,8.346697
23,15,2.20519,6.763663
23,16,2.407934,1.374332
23,17,2.395745,1.590959
23,19,1.361275,1.893631
23,23,1.859935,0.953942
24,1,1.710489,0.451845
24,3,1.554282,1.523425
24,6,2.20025,0.723497
24,7,1.978476,0.431966
24,8,2.226688,0.603066
24,9,2.545695,0.581501
24,11,1.742438,7.141413
24,12,1.949255,9.004042
24,14,1.632536,1.83175
24,15,0.965663,0.488071
24,16,2.022399,0.610052
24,17,2.494604,0.987014
24,19,1.827441,14.122878
24,20,1.748419,3.971766
24,24,2.859778,21.294482
25,1,1.815287,1.334984
25,6,2.12257,1.646822
25,7,2.625097,2.366982
25,8,3.22597,3.636943
25,9,3.508953,2.404476
25,13,1.2312,1.130368
25,14,1.88158,3.934609
25,15,1.879268,5.259289
25,16,2.20558,2.583375
25,17,2.275167,2.025304
25,19,1.328545,1.921563
25,20,1.298445,0.520488
25,22,1.633575,4.212201
25,25,2.50215,23.014869
26,1,2.325,0.797044
26,6,2.439391,0.840113
26,7,2.710121,1.307687
26,8,2.977229,1.669098
26,9,3.266034,1.572783
26,14,2.261269,1.302779
26,15,1.425836,0.597968
26,16,2.922342,3.055008
26,17,2.803764,1.47599
26,19,0.914983,0.471163
26,22,2.152071,1.718797
26,24,2.320197,1.605266
26,26,3.253806,25.101048
27,1,2.212022,0.781287
27,3,1.930303,0.523612
27,5,3.2,1
27,6,1.369735,0.101941
27,7,2.018692,0.371117
27,8,2.512985,0.617937
27,9,3.169014,1.042929
27,11,1.130004,0.525429
27,14,2.247195,1.130253
27,15,2.298868,3.189088
27,16,2.144853,0.522339
27,17,2.604673,0.979572
27,19,1.347379,1.363649
27,24,1.965685,0.907585
27,27,1.072023,0.082968
28,1,1.921141,0.694497
28,5,2.332207,0.529685
28,6,2.135123,0.429059
28,7,2.259589,0.403691
28,8,2.452312,0.284888
28,9,3.145389,0.559407
28,14,2.260625,3.024544
28,15,1.646184,0.793563
28,16,2.360866,0.923582
28,17,2.771621,1.509842
28,19,1.110139,0.64236
28,24,2.774356,29.999969
28,28,1.626235,0.339558
29,1,2.941555,1.781622
29,6,3.018944,1.413488
29,7,2.5663,0.429906
29,8,1.911057,0.098068
29,9,3.176529,0.411293
29,11,1.306695,0.785487
29,13,2.320517,12.995965
29,15,0.858794,5.035151
29,16,2.053844,0.296518
29,17,2.475894,0.372668
29,19,2.087357,7.79531
29,29,3.103277,3.391704
30,1,1.8748,1.696831
30,6,2.171605,2.38658
30,7,1.805998,0.900539
30,8,2.079887,1.11699
30,9,1.859561,0.499581
30,11,1.588584,5.69472
30,14,1.89036,6.865738
30,15,1.398572,1.863594
30,16,1.379514,0.533478
30,17,1.588143,0.54772
30,20,0.974041,1.296565
30,23,1.513777,1.44227
30,24,2.071878,2.312424
30,30,1.998115,19.124599
31,1,2.170771,2.091955
31,6,2.188866,1.617568
31,7,1.949999,0.867734
31,8,2.408216,1.379976
31,9,3.055971,2.319957
31,14,2.16969,5.03133
31,15,1.6,4
31,16,2.514,4.204343
31,17,2.104228,1.129276
31,31,2.390223,11.941483
32,1,2.470301,2.398259
32,6,2.351577,1.605487
32,7,2.239698,1.028521
32,8,2.217395,0.690557
32,9,1.727325,0.165644
32,14,2.053934,3.121907
32,15,1.831652,4.212771
32,16,2.358433,1.947726
32,17,2.506796,1.783333
32,25,1.937769,2.470135
32,27,2.85261,2.15185
32,32,2.215455,5.884206
33,1,1.749762,0.763924
33,6,1.805305,0.604465
33,7,2.035339,0.784041
33,8,2.38799,1.07667
33,9,2.783517,1.196884
33,11,1.763497,2.673425
33,13,1.33267,1.322056
33,14,1.77103,1.384298
33,16,1.826372,0.732648
33,17,1.947927,0.747436
33,19,1.267957,2.276204
33,22,1.711955,1.371503
33,27,1.514923,2.030232
33,30,1.618734,2.700385
33,31,1.534812,1.19664
33,33,1.707277,1.325873
34,1,2.547234,1.229099
34,6,2.186857,0.654796
34,7,1.980885,0.448537
34,8,2.612643,0.860233
34,9,2.463196,0.473969
34,11,1.115555,0.902628
34,14,2.318601,2.051717
34,15,1.865719,2.359419
34,16,1.492756,0.530796
34,17,2.17,0.869163
34,19,1.680151,3.87138
34,25,1.98141,2.170787
34,27,2.52345,2.20241
34,30,1.163289,0.367711
34,32,1.604107,0.556002
34,33,1.514823,0.541956
34,34,1.524158,0.334506
35,1,2.339252,1.27039
35,2,2.127598,1.062013
35,3,2.143819,2.241404
35,4,2.283569,2.65913
35,5,2.307098,1.84959
35,6,2.252349,0.968921
35,7,3.015469,4.148435
35,8,2.73928,1.425004
35,9,2.756179,0.915922
35,10,2.483203,1.001506
35,11,2.327183,11.511433
35,12,2.350023,7.183008
35,13,1.514344,1.504277
35,14,1.715815,1.126731
35,15,1.664343,1.746224
35,16,2.099922,1.004759
35,17,1.906403,0.581542
35,18,2.454724,3.261699
35,19,1.887799,7.523969
35,20,2.558257,12.875179
35,21,1.531278,1.06392
35,22,1.760015,1.534465
35,23,1.909502,1.394543
35,24,1.781866,0.746857
35,25,2.183298,2.530861
35,26,2.388196,1.415413
35,27,2.124301,0.75969
35,28,2.543159,1.656698
35,29,3.040037,2.655465
35,30,1.594962,1.241996
35,31,1.934418,1.722754
35,32,2.062366,2.031652
35,33,1.750449,0.949379
35,34,1.788806,0.682982
35,35,2.147378,1.599562
36,1,3.770453,5.125897
36,2,1.996943,0.627701
36,3,3.004783,8.377143
36,4,3.289764,10.264026
36,5,2.559201,2.931148
36,6,2.076738,0.652623
36,7,1.644052,0.199606
36,8,0.297001,0.00469
36,9,3.452321,4.134407
36,10,2.813679,1.433722
36,11,2.562062,9.817859
36,12,1.296221,1.119449
36,13,2.493834,5.076857
36,14,1.545354,0.63903
36,17,1.884662,0.520353
36,18,1.995125,0.554874
36,19,2.29664,8.532309
36,20,1.559229,1.305808
36,35,1.6083,0.499653
36,36,1.913342,0.252431
