case	atoms	charge	multiplicity	mopac_hof_kcal	pm7rs_hof_kcal	d_hof_kcal	mopac_homo_ev	pm7rs_homo_ev	d_homo_ev	mopac_lumo_ev	pm7rs_lumo_ev	d_lumo_ev	mopac_dipole_debye	pm7rs_dipole_debye	d_dipole_debye	worst_charge_e	mopac_s2	pm7rs_s2	d_s2
naphthalene_like	18	0	1	229.241390	229.241389	-0.000001	-8.6790	-8.6792	-0.0002	-0.6920	-0.6921	-0.0001	0.0000	0.0000	0.0000	0.00000055			
phenol	13	0	1	-20.990990	-20.990993	-0.000003	-9.2860	-9.2862	-0.0002	0.0020	0.0016	-0.0004	1.3410	1.3413	0.0003	0.00000094			
aniline	14	0	1	22.424250	22.424254	0.000004	-8.3910	-8.3908	0.0002	0.3210	0.3214	0.0004	1.6300	1.6298	-0.0002	0.00000115			
toluene	15	0	1	13.745960	13.745965	0.000005	-9.4570	-9.4565	0.0005	0.2790	0.2792	0.0002	0.5020	0.5019	-0.0001	0.00000131			
cyclopropane	9	0	1	12.598280	12.598284	0.000004	-11.5810	-11.5811	-0.0001	2.5520	2.5521	0.0001	0.0010	0.0011	0.0001	0.00000045			
cubane	16	0	1	127.640990	127.640989	-0.000001	-10.4880	-10.4884	-0.0004	2.8690	2.8688	-0.0002	0.0000	0.0000	0.0000	0.00000044			
hydroxide	2	-1	1	-32.039800	-32.039796	0.000004	-1.7850	-1.7849	0.0001	14.8790	14.8794	0.0004	1.7070	1.7067	-0.0003	0.00000015			
ammonium	5	1	1	154.933470	154.933468	-0.000002	-24.5370	-24.5373	-0.0003	-4.4070	-4.4073	-0.0003	0.0000	0.0000	0.0000	0.00000021			
hydronium	4	1	1	149.528720	149.528724	0.000004	-22.9340	-22.9335	0.0005	-6.6950	-6.6951	-0.0001	1.8190	1.8189	-0.0001	0.00000051			
fluoride	1	-1	1	-58.650470	-58.650469	0.000001		-3.3625					0.0000	0.0000	0.0000	0.00000000			
chloride	1	-1	1	-59.864570	-59.864574	-0.000004	-3.8530	1.6538	5.5068	85.0440	94.3942	9.3502	0.0000	0.0000	0.0000	0.00000000			
cyanide	2	-1	1	31.816790	31.816787	-0.000003	-3.2800	-3.2799	0.0001	9.7290	9.7290	-0.0000	0.3240	0.3236	-0.0004	0.00000029			
nitrate	4	-1	1	-80.894410	-80.894412	-0.000002	-5.2500	-5.2504	-0.0004	6.5530	6.5531	0.0001	0.0000	0.0000	0.0000	0.00000037			
carbonate	4	-2	1	-67.124150	-67.124149	0.000001	1.5730	1.5734	0.0004	14.8350	14.8348	-0.0002	0.0000	0.0000	0.0000	0.00000071			
sulfate	5	-2	1	-131.068080	-131.068082	-0.000002	0.1190	0.1194	0.0004	13.7550	13.7551	0.0001	0.0000	0.0000	0.0000	0.00000135			
acetate	7	-1	1	-124.796630	-124.796633	-0.000003	-4.2640	-4.2636	0.0004	8.0340	8.0343	0.0003	4.6480	4.6480	0.0000	0.00000051			
methyl_cation	4	1	1	252.378630	252.378633	0.000003	-22.8140	-22.8139	0.0001	-9.4950	-9.4953	-0.0003	0.0000	0.0000	0.0000	0.00000071			
methyl_anion	4	-1	1	49.651170	49.651168	-0.000002	0.0230	0.0226	-0.0004	14.3710	14.3706	-0.0004	2.1130	2.1133	0.0003	0.00000047			
methylammonium	8	1	1	152.167800	152.167801	0.000001	-19.5440	-19.5437	0.0003	-4.4950	-4.4954	-0.0004	2.3470	2.3474	0.0004	0.00000071			
methyl_radical	4	0	2	28.643500	28.643497	-0.000003	-9.8970	-9.8970	-0.0000	6.0530	6.0529	-0.0001	0.0010	0.0008	-0.0002	0.00000075	0.753073	0.753073	0.000000
hydroxyl_radical	2	0	2	7.261680	7.261677	-0.000003	-12.2280	-12.2280	-0.0000	4.5010	4.5011	0.0001	1.3950	1.3952	0.0002	0.00000023	0.753313	0.753313	0.000000
nitric_oxide	2	0	2	22.604840	22.604840	0.000000	-9.9520	-9.9522	-0.0002	-1.0550	-1.0546	0.0004	1.0580	1.0579	-0.0001	0.00000025	0.752386	0.752386	-0.000000
nitrogen_dioxide	3	0	2	-4.599690	-4.599692	-0.000002	-10.8850	-10.8854	-0.0004	-0.6330	-0.6333	-0.0003	0.2600	0.2600	-0.0000	0.00000046	0.763241	0.763241	-0.000000
chlorine_dioxide	3	0	2	42.992380	42.992378	-0.000002	-10.4410	-10.4411	-0.0001	-0.6400	-0.6402	-0.0002	4.9150	4.9148	-0.0002	0.00000062	0.755045	0.755045	0.000000
ethyl_radical	7	0	2	16.784620	16.784624	0.000004	-9.1590	-9.1586	0.0004	4.5450	4.5450	0.0000	0.3410	0.3410	0.0000	0.00000045	0.753333	0.753333	0.000000
oxygen_triplet	2	0	3	-4.369520	-4.369524	-0.000004	-11.0690	-11.0688	0.0002	1.9960	1.9957	-0.0003	0.0000	0.0000	0.0000	0.00000000	2.002664	2.002664	0.000000
methylene_triplet	3	0	3	83.863240	83.863240	-0.000000	-9.8940	-9.8941	-0.0001	5.5920	5.5921	0.0001	0.7530	0.7525	-0.0005	0.00000024	2.004100	2.004100	-0.000000
water_dimer	6	0	1	-120.279350	-120.279347	0.000003	-11.5480	-11.5477	0.0003	3.5420	3.5421	0.0001	3.0540	3.0545	0.0005	0.00000067			
formic_acid_dimer	10	0	1	248.181810	248.206221	0.024411	-7.5320	-7.5325	-0.0005	0.7400	0.7400	0.0000	0.0000	0.0000	0.0000	0.00000086			
ammonia_water	7	0	1	-67.685780	-67.685779	0.000001	-10.8060	-10.8056	0.0004	3.8760	3.8758	-0.0002	4.2170	4.2167	-0.0003	0.00000065			
benzene_dimer_stacked	24	0	1	41.282120	41.282125	0.000005	-9.5160	-9.5164	-0.0004	0.3450	0.3450	0.0000	0.0000	0.0000	0.0000	0.00000052			
