case	atoms	charge	multiplicity	mopac_hof_kcal	pm7rs_hof_kcal	d_hof_kcal	mopac_homo_ev	pm7rs_homo_ev	d_homo_ev	mopac_lumo_ev	pm7rs_lumo_ev	d_lumo_ev	mopac_dipole_debye	pm7rs_dipole_debye	d_dipole_debye	worst_charge_e	mopac_s2	pm7rs_s2	d_s2
niobium_pentachloride	6	0	1	-155.898980	-155.898983	-0.000003	-10.9120	-10.9115	0.0005	-1.6520	-1.6523	-0.0003	0.0000	0.0000	0.0000	0.00000042			
molybdenum_hexafluoride	7	0	1	-354.190680	-354.190672	0.000008	-15.5540	-15.5539	0.0001	-2.6020	-2.6019	0.0001	0.0000	0.0000	0.0000	0.00000077			
pertechnetate	5	-1	1	-144.074920	-144.074859	0.000061	-7.2070	-7.2073	-0.0003	3.2400	3.2396	-0.0004	0.0000	0.0000	0.0000	0.00000192			
lanthanum_trichloride	4	0	1	-148.037850	-148.037838	0.000012	-11.8930	-11.8934	-0.0004	-3.1680	-3.1677	0.0003	0.0000	0.0000	0.0000	0.00000033			
lutetium_trifluoride	4	0	1	201.169880	201.158057	-0.011823	-12.0440	-12.0444	-0.0004	-5.0550	-5.0554	-0.0004	0.0000	0.0000	0.0000	0.00001045			
hafnium_tetrachloride	5	0	1	-174.369080	-174.369061	0.000019	-11.8370	-11.8372	-0.0002	-2.3420	-2.3424	-0.0004	0.0000	0.0000	0.0000	0.00000058			
tantalum_pentachloride	6	0	1	-193.348330	-193.348337	-0.000007	-10.4250	-10.4251	-0.0001	-2.4020	-2.4016	0.0004	0.0000	0.0000	0.0000	0.00000041			
tungsten_hexafluoride	7	0	1	-379.480450	-379.480460	-0.000010	-16.4540	-16.4538	0.0002	-1.9660	-1.9656	0.0004	0.0000	0.0000	0.0000	0.00000117			
perrhenate	5	-1	1	-149.684070	-149.709499	-0.025429	-7.3290	-7.3293	-0.0003	6.2410	6.2414	0.0004	0.0000	0.0000	0.0000	0.00006652			
osmium_tetroxide	5	0	1	-70.515860	-70.515836	0.000024	-12.8390	-12.8392	-0.0002	-3.2220	-3.2225	-0.0005	0.0000	0.0000	0.0000	0.00000030			
copper_chloride	2	0	1	8.214560	13.392331	5.177771	-9.6920	-9.6370	0.0550	2.0870	1.9605	-0.1265	6.5630	6.6971	0.1341	0.01933926			
zinc_dichloride	3	0	1	-48.417880	-48.417885	-0.000005	-11.2790	-11.2787	0.0003	0.4250	0.4246	-0.0004	0.0000	0.0000	0.0000	0.00000044			
silver_chloride	2	0	1	18.933220	22.753151	3.819931	-9.9080	-9.8536	0.0544	-0.2820	-0.3531	-0.0711	6.0260	6.1037	0.0777	0.01232044			
cadmium_dichloride	3	0	1	-27.694860	-27.694862	-0.000002	-11.4230	-11.4229	0.0001	-2.6350	-2.6345	0.0005	0.0000	0.0000	0.0000	0.00000059			
mercury_dichloride	3	0	1	-25.292280	-25.292279	0.000001	-11.5030	-11.5028	0.0002	-1.4230	-1.4227	0.0003	0.0000	0.0000	0.0000	0.00000055			
tetrachloropalladate	5	-2	1	-90.150810	-90.150822	-0.000012	-0.0830	-0.0832	-0.0002	7.3270	7.3268	-0.0002	0.0000	0.0000	0.0000	0.00000025			
tetrachloroplatinate	5	-2	1	-88.954560	-88.954563	-0.000003	-0.0130	-0.0131	-0.0001	7.9030	7.9033	0.0003	0.0000	0.0000	0.0000	0.00000023			
gold_chloride	2	0	1	61.789470	61.789465	-0.000005	-10.8660	-10.8658	0.0002	-0.9440	-0.9443	-0.0003	2.7710	2.7714	0.0004	0.00000018			
thorium_tetrafluoride	5	0	1																
californium_trifluoride	4	0	1		18.050716			-11.0990			-7.3809			0.3377					
nobelium_trifluoride	4	0	1		-1725777.893185			-12.0350			-8.3518			0.0000					
nickel_tetracarbonyl	9	0	1	-146.775210	-146.775224	-0.000014	-7.2770	-7.2774	-0.0004	0.9440	0.9443	0.0003	0.0000	0.0000	0.0000	0.00000022			
iron_pentacarbonyl	11	0	1	-196.968730	-196.968755	-0.000025	-9.0340	-9.0337	0.0003	-1.0210	-1.0209	0.0001	0.0000	0.0000	0.0000	0.00000024			
chromium_hexacarbonyl	13	0	1	-206.068570	-206.068609	-0.000039	-9.9370	-9.9369	0.0001	-0.1720	-0.1723	-0.0003	0.0000	0.0000	0.0000	0.00000025			
molybdenum_hexacarbonyl	13	0	1	-206.124840	-206.124869	-0.000029	-9.6910	-9.6909	0.0001	-0.0940	-0.0936	0.0004	0.0000	0.0000	0.0000	0.00000046			
tungsten_hexacarbonyl	13	0	1	-206.440190	-206.440252	-0.000062	-7.2810	-7.2806	0.0004	-0.3930	-0.3932	-0.0002	0.0000	0.0000	0.0000	0.00000061			
ruthenium_pentacarbonyl	11	0	1	-133.640540	-133.640574	-0.000034	-7.8110	-7.8106	0.0004	-0.9390	-0.9393	-0.0003	0.0000	0.0000	0.0000	0.00000077			
osmium_pentacarbonyl	11	0	1	-100.525650	-100.525678	-0.000028	-6.7090	-6.7090	0.0000	-0.5240	-0.5245	-0.0005	0.0000	0.0000	0.0000	0.00000048			
manganese_carbonyl_hydride	12	0	1	-190.896560	-190.896614	-0.000054	-8.5380	-8.5377	0.0003	-0.0340	-0.0337	0.0003	0.8700	0.8700	-0.0000	0.00000028			
cobalt_tetracarbonyl_anion	9	-1	1	-91.416980	-91.383846	0.033134	-2.6700	-2.6701	-0.0001	4.8960	4.8964	0.0004	0.0000	0.0000	0.0000	0.00000075			
rhodium_dicarbonyl_chloride	7	-1	1	-110.111540	-110.111530	0.000010	-5.1640	-5.1643	-0.0003	3.2940	3.2940	0.0000	8.8230	8.8233	0.0003	0.00000100			
iridium_dicarbonyl_dichloride	7	-1	1	-127.077630	-127.263508	-0.185878	-4.9280	-4.9287	-0.0007	3.9440	3.9478	0.0038	6.0210	6.0149	-0.0061	0.00234188			
ferrocene	21	0	1	279.567540	279.567715	0.000175	-9.5540	-9.5540	-0.0000	-1.0270	-1.0266	0.0004	0.0000	0.0000	0.0000	0.00000070			
dimethylzinc	9	0	1	13.769590	13.769564	-0.000026	-8.8760	-8.8764	-0.0004	3.8140	3.8142	0.0002	0.0000	0.0000	0.0000	0.00000048			
